2023-06-03 13:07:38,662 INFO    StreamThr :8489 [internal.py:wandb_internal():86] W&B internal server running at pid: 8489, started at: 2023-06-03 13:07:38.661745
2023-06-03 13:07:38,663 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status
2023-06-03 13:07:38,664 INFO    WriterThread:8489 [datastore.py:open_for_write():85] open: /home/singh/mlops-zoomcamp-2023/02-experiment-tracking/WandbTraining/wandb/run-20230603_130735-fpr7vjhw/run-fpr7vjhw.wandb
2023-06-03 13:07:38,665 DEBUG   SenderThread:8489 [sender.py:send():375] send: header
2023-06-03 13:07:38,665 DEBUG   SenderThread:8489 [sender.py:send():375] send: run
2023-06-03 13:07:38,747 INFO    SenderThread:8489 [dir_watcher.py:__init__():219] watching files in: /home/singh/mlops-zoomcamp-2023/02-experiment-tracking/WandbTraining/wandb/run-20230603_130735-fpr7vjhw/files
2023-06-03 13:07:38,747 INFO    SenderThread:8489 [sender.py:_start_run_threads():1124] run started: fpr7vjhw with start time 1685797657.687784
2023-06-03 13:07:38,747 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: summary_record
2023-06-03 13:07:38,747 INFO    SenderThread:8489 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-03 13:07:38,748 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: check_version
2023-06-03 13:07:38,749 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: check_version
2023-06-03 13:07:38,829 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: run_start
2023-06-03 13:07:38,829 DEBUG   HandlerThread:8489 [system_info.py:__init__():31] System info init
2023-06-03 13:07:38,830 DEBUG   HandlerThread:8489 [system_info.py:__init__():46] System info init done
2023-06-03 13:07:38,830 INFO    HandlerThread:8489 [system_monitor.py:start():181] Starting system monitor
2023-06-03 13:07:38,830 INFO    SystemMonitor:8489 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-03 13:07:38,830 INFO    HandlerThread:8489 [system_monitor.py:probe():201] Collecting system info
2023-06-03 13:07:38,830 INFO    SystemMonitor:8489 [interfaces.py:start():190] Started cpu monitoring
2023-06-03 13:07:38,831 INFO    SystemMonitor:8489 [interfaces.py:start():190] Started disk monitoring
2023-06-03 13:07:38,831 INFO    SystemMonitor:8489 [interfaces.py:start():190] Started memory monitoring
2023-06-03 13:07:38,832 INFO    SystemMonitor:8489 [interfaces.py:start():190] Started network monitoring
2023-06-03 13:07:38,834 DEBUG   HandlerThread:8489 [system_info.py:probe():195] Probing system
2023-06-03 13:07:38,834 DEBUG   HandlerThread:8489 [system_info.py:_probe_git():180] Probing git
2023-06-03 13:07:38,839 DEBUG   HandlerThread:8489 [system_info.py:_probe_git():188] Probing git done
2023-06-03 13:07:38,839 DEBUG   HandlerThread:8489 [system_info.py:probe():240] Probing system done
2023-06-03 13:07:38,839 DEBUG   HandlerThread:8489 [system_monitor.py:probe():210] {'os': 'Linux-5.19.0-1025-gcp-x86_64-with-glibc2.35', 'python': '3.10.11', 'heartbeatAt': '2023-06-03T13:07:38.834375', 'startedAt': '2023-06-03T13:07:35.656555', 'docker': None, 'cuda': None, 'args': None, 'state': 'running', 'program': '<python with no main file>', 'git': {'remote': 'https://github.com/Shubh18s/mlops-zoomcamp-2023.git', 'commit': '6406969bbaed4768467d0f3a8da80ddf7c326c23'}, 'email': 'singh18shubhdeep@gmail.com', 'root': '/home/singh/mlops-zoomcamp-2023', 'host': 'mlops-zoomcamp', 'username': 'singh', 'executable': '/home/singh/anaconda3/envs/wandb_env/bin/python', 'cpu_count': 2, 'cpu_count_logical': 4, 'cpu_freq': {'current': 2800.306, 'min': 0.0, 'max': 0.0}, 'cpu_freq_per_core': [{'current': 2800.306, 'min': 0.0, 'max': 0.0}, {'current': 2800.306, 'min': 0.0, 'max': 0.0}, {'current': 2800.306, 'min': 0.0, 'max': 0.0}, {'current': 2800.306, 'min': 0.0, 'max': 0.0}], 'disk': {'total': 28.89361572265625, 'used': 17.50540542602539}, 'memory': {'total': 15.622859954833984}}
2023-06-03 13:07:38,839 INFO    HandlerThread:8489 [system_monitor.py:probe():211] Finished collecting system info
2023-06-03 13:07:38,839 INFO    HandlerThread:8489 [system_monitor.py:probe():214] Publishing system info
2023-06-03 13:07:38,839 DEBUG   HandlerThread:8489 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-03 13:07:38,839 DEBUG   HandlerThread:8489 [system_info.py:_save_pip():67] Saving pip packages done
